 angle:	pba:
   1.500000    	           0	  0.0000000E+00
   4.500000    	           0	  0.0000000E+00
   7.500000    	           0	  0.0000000E+00
   10.50000    	           0	  0.0000000E+00
   13.50000    	           0	  0.0000000E+00
   16.50000    	           0	  0.0000000E+00
   19.50000    	           0	  0.0000000E+00
   22.50000    	           0	  0.0000000E+00
   25.50000    	           0	  0.0000000E+00
   28.50000    	           0	  0.0000000E+00
   31.50000    	           0	  0.0000000E+00
   34.50000    	           0	  0.0000000E+00
   37.50000    	           0	  0.0000000E+00
   40.50000    	           0	  0.0000000E+00
   43.50000    	           0	  0.0000000E+00
   46.50000    	           0	  0.0000000E+00
   49.50000    	           0	  0.0000000E+00
   52.50000    	           0	  0.0000000E+00
   55.50000    	           0	  0.0000000E+00
   58.50000    	           0	  0.0000000E+00
   61.50000    	           0	  0.0000000E+00
   64.50000    	           1	  1.0967317E-04
   67.50000    	           4	  4.3869269E-04
   70.50000    	           4	  4.3869269E-04
   73.50000    	          17	  1.8644440E-03
   76.50000    	          37	  4.0579075E-03
   79.50000    	          76	  8.3351610E-03
   82.50000    	         151	  1.6560649E-02
   85.50000    	         250	  2.7418293E-02
   88.50000    	         348	  3.8166266E-02
   91.50000    	         295	  3.2353587E-02
   94.50000    	         293	  3.2134239E-02
   97.50000    	         243	  2.6650582E-02
   100.5000    	         281	  3.0818162E-02
   103.5000    	         368	  4.0359728E-02
   106.5000    	         463	  5.0778680E-02
   109.5000    	         566	  6.2075015E-02
   112.5000    	         644	  7.0629522E-02
   115.5000    	         720	  7.8964688E-02
   118.5000    	         715	  7.8416318E-02
   121.5000    	         650	  7.1287565E-02
   124.5000    	         563	  6.1745998E-02
   127.5000    	         497	  5.4507568E-02
   130.5000    	         420	  4.6062734E-02
   133.5000    	         328	  3.5972800E-02
   136.5000    	         241	  2.6431235E-02
   139.5000    	         220	  2.4128098E-02
   142.5000    	         191	  2.0947576E-02
   145.5000    	         122	  1.3380127E-02
   148.5000    	         108	  1.1844703E-02
   151.5000    	          78	  8.5545080E-03
   154.5000    	          55	  6.0320245E-03
   157.5000    	          61	  6.6900635E-03
   160.5000    	          27	  2.9611757E-03
   163.5000    	          24	  2.6321562E-03
   166.5000    	          22	  2.4128098E-03
   169.5000    	          14	  1.5354244E-03
   172.5000    	          12	  1.3160781E-03
   175.5000    	           8	  8.7738538E-04
   178.5000    	           1	  1.0967317E-04
   181.5000    	           0	  0.0000000E+00
   184.5000    	           0	  0.0000000E+00
   187.5000    	           0	  0.0000000E+00
   190.5000    	           0	  0.0000000E+00
   193.5000    	           0	  0.0000000E+00
   196.5000    	           0	  0.0000000E+00
   199.5000    	           0	  0.0000000E+00
   202.5000    	           0	  0.0000000E+00
   205.5000    	           0	  0.0000000E+00
   208.5000    	           0	  0.0000000E+00
   211.5000    	           0	  0.0000000E+00
   214.5000    	           0	  0.0000000E+00
   217.5000    	           0	  0.0000000E+00
   220.5000    	           0	  0.0000000E+00
   223.5000    	           0	  0.0000000E+00
   226.5000    	           0	  0.0000000E+00
   229.5000    	           0	  0.0000000E+00
   232.5000    	           0	  0.0000000E+00
   235.5000    	           0	  0.0000000E+00
   238.5000    	           0	  0.0000000E+00
   241.5000    	           0	  0.0000000E+00
   244.5000    	           0	  0.0000000E+00
   247.5000    	           0	  0.0000000E+00
   250.5000    	           0	  0.0000000E+00
   253.5000    	           0	  0.0000000E+00
   256.5000    	           0	  0.0000000E+00
   259.5000    	           0	  0.0000000E+00
   262.5000    	           0	  0.0000000E+00
   265.5000    	           0	  0.0000000E+00
   268.5000    	           0	  0.0000000E+00
   271.5000    	           0	  0.0000000E+00
   274.5000    	           0	  0.0000000E+00
   277.5000    	           0	  0.0000000E+00
   280.5000    	           0	  0.0000000E+00
   283.5000    	           0	  0.0000000E+00
