 angle:	pba:
   1.500000    	           0	  0.0000000E+00
   4.500000    	           0	  0.0000000E+00
   7.500000    	           0	  0.0000000E+00
   10.50000    	           0	  0.0000000E+00
   13.50000    	           0	  0.0000000E+00
   16.50000    	           0	  0.0000000E+00
   19.50000    	           0	  0.0000000E+00
   22.50000    	           0	  0.0000000E+00
   25.50000    	           0	  0.0000000E+00
   28.50000    	           0	  0.0000000E+00
   31.50000    	           0	  0.0000000E+00
   34.50000    	           0	  0.0000000E+00
   37.50000    	           0	  0.0000000E+00
   40.50000    	           0	  0.0000000E+00
   43.50000    	           0	  0.0000000E+00
   46.50000    	           0	  0.0000000E+00
   49.50000    	           0	  0.0000000E+00
   52.50000    	           0	  0.0000000E+00
   55.50000    	           0	  0.0000000E+00
   58.50000    	           0	  0.0000000E+00
   61.50000    	           0	  0.0000000E+00
   64.50000    	           0	  0.0000000E+00
   67.50000    	           0	  0.0000000E+00
   70.50000    	           1	  7.3578100E-05
   73.50000    	          17	  1.2508278E-03
   76.50000    	          66	  4.8561548E-03
   79.50000    	         159	  1.1698918E-02
   82.50000    	         331	  2.4354352E-02
   85.50000    	         513	  3.7745565E-02
   88.50000    	         658	  4.8414391E-02
   91.50000    	         847	  6.2320653E-02
   94.50000    	         919	  6.7618273E-02
   97.50000    	        1007	  7.4093148E-02
   100.5000    	        1149	  8.4541239E-02
   103.5000    	        1149	  8.4541239E-02
   106.5000    	        1107	  8.1450962E-02
   109.5000    	         914	  6.7250386E-02
   112.5000    	         815	  5.9966154E-02
   115.5000    	         740	  5.4447796E-02
   118.5000    	         554	  4.0762268E-02
   121.5000    	         465	  3.4213819E-02
   124.5000    	         328	  2.4133617E-02
   127.5000    	         270	  1.9866088E-02
   130.5000    	         254	  1.8688839E-02
   133.5000    	         195	  1.4347730E-02
   136.5000    	         137	  1.0080200E-02
   139.5000    	         126	  9.2708413E-03
   142.5000    	          93	  6.8427636E-03
   145.5000    	          75	  5.5183577E-03
   148.5000    	          76	  5.5919359E-03
   151.5000    	          53	  3.8996395E-03
   154.5000    	          65	  4.7825766E-03
   157.5000    	          62	  4.5618424E-03
   160.5000    	          64	  4.7089984E-03
   163.5000    	          92	  6.7691854E-03
   166.5000    	          74	  5.4447795E-03
   169.5000    	          76	  5.5919359E-03
   172.5000    	          81	  5.9598265E-03
   175.5000    	          46	  3.3845927E-03
   178.5000    	          13	  9.5651532E-04
   181.5000    	           0	  0.0000000E+00
   184.5000    	           0	  0.0000000E+00
   187.5000    	           0	  0.0000000E+00
   190.5000    	           0	  0.0000000E+00
   193.5000    	           0	  0.0000000E+00
   196.5000    	           0	  0.0000000E+00
   199.5000    	           0	  0.0000000E+00
   202.5000    	           0	  0.0000000E+00
   205.5000    	           0	  0.0000000E+00
   208.5000    	           0	  0.0000000E+00
   211.5000    	           0	  0.0000000E+00
   214.5000    	           0	  0.0000000E+00
   217.5000    	           0	  0.0000000E+00
   220.5000    	           0	  0.0000000E+00
   223.5000    	           0	  0.0000000E+00
   226.5000    	           0	  0.0000000E+00
   229.5000    	           0	  0.0000000E+00
   232.5000    	           0	  0.0000000E+00
   235.5000    	           0	  0.0000000E+00
   238.5000    	           0	  0.0000000E+00
   241.5000    	           0	  0.0000000E+00
   244.5000    	           0	  0.0000000E+00
   247.5000    	           0	  0.0000000E+00
   250.5000    	           0	  0.0000000E+00
   253.5000    	           0	  0.0000000E+00
   256.5000    	           0	  0.0000000E+00
   259.5000    	           0	  0.0000000E+00
   262.5000    	           0	  0.0000000E+00
   265.5000    	           0	  0.0000000E+00
   268.5000    	           0	  0.0000000E+00
   271.5000    	           0	  0.0000000E+00
   274.5000    	           0	  0.0000000E+00
   277.5000    	           0	  0.0000000E+00
   280.5000    	           0	  0.0000000E+00
   283.5000    	           0	  0.0000000E+00
