 temp:	  etot:	  ekin:	  epot:
  1.9182698E+09	  4.5549572E+07	  4.5560016E+07	  -10445.42    	   76.67365    
  1.3642618E+09	  3.2388468E+07	  3.2402004E+07	  -13536.33    	   75.06476    
   3474.595    	  -838.6270    	   82.52340    	  -921.1503    	   74.80974    
   3483.979    	  -857.5694    	   82.74627    	  -940.3157    	   73.44545    
   3481.463    	  -858.1220    	   82.68699    	  -940.8090    	   71.90432    
   3308.431    	  -877.6026    	   78.57690    	  -956.1795    	   71.33112    
   3470.781    	  -898.4039    	   82.43330    	  -980.8372    	   71.11720    
   3464.868    	  -900.5162    	   82.29237    	  -982.8086    	   71.07414    
   3460.169    	  -889.5637    	   82.18125    	  -971.7450    	   71.14514    
   3455.806    	  -898.4683    	   82.07764    	  -980.5460    	   70.91771    
   3446.324    	  -896.1555    	   81.85195    	  -978.0074    	   70.87497    
   3445.466    	  -896.6287    	   81.83204    	  -978.4608    	   71.04510    
   3438.689    	  -900.0653    	   81.67062    	  -981.7360    	   70.61978    
   3435.125    	  -897.2346    	   81.58643    	  -978.8210    	   70.63364    
   3428.812    	  -904.9309    	   81.43601    	  -986.3669    	   70.45012    
   3437.456    	  -840.3134    	   81.64179    	  -921.9552    	   71.20083    
   3417.888    	  -881.5629    	   81.17657    	  -962.7395    	   70.77464    
   3416.721    	  -900.3184    	   81.14933    	  -981.4678    	   70.40737    
   3409.854    	  -900.4470    	   80.98576    	  -981.4328    	   70.32278    
   3417.708    	  -913.2202    	   81.17278    	  -994.3929    	   70.13992    
   3399.990    	  -911.4885    	   80.75148    	  -992.2400    	   70.13974    
   3394.234    	  -905.8092    	   80.61479    	  -986.4240    	   70.25197    
   3389.652    	  -913.5417    	   80.50596    	  -994.0477    	   70.06939    
   3448.416    	  -899.6174    	   81.90211    	  -981.5195    	   70.42047    
   3380.474    	  -909.3341    	   80.28845    	  -989.6226    	   70.26553    
   3374.254    	  -907.8588    	   80.14025    	  -987.9991    	   70.34982    
   3370.433    	  -876.7341    	   80.04997    	  -956.7841    	   70.87227    
   3365.278    	  -908.1666    	   79.92753    	  -988.0941    	   70.23685    
   3360.735    	  -909.5911    	   79.81964    	  -989.4107    	   70.19444    
   3355.033    	  -910.0691    	   79.68421    	  -989.7533    	   70.20842    
   3350.216    	  -911.3113    	   79.56980    	  -990.8811    	   70.13804    
   3342.510    	  -908.8530    	   79.38630    	  -988.2393    	   70.20808    
   3340.614    	  -919.7920    	   79.34175    	  -999.1337    	   70.02556    
   3335.448    	  -920.3715    	   79.21905    	  -999.5905    	   70.06750    
   3329.182    	  -920.4578    	   79.06975    	  -999.5276    	   70.08134    
   3113.134    	  -902.2818    	   73.93849    	  -976.2203    	   70.50291    
   3320.269    	  -908.9812    	   78.85854    	  -987.8397    	   70.36188    
   3344.244    	  -913.1949    	   79.42798    	  -992.6229    	   70.06661    
   3687.939    	  -890.0010    	   87.59093    	  -977.5919    	   70.22067    
   3299.855    	  -877.9530    	   78.37323    	  -956.3262    	   70.96892    
   4931.248    	  -845.4566    	   117.1202    	  -962.5768    	   70.57231    
  7.0728032E+07	   1682450.    	   1679832.    	   2618.861    	   70.88335    
   3292.456    	  -896.9285    	   78.19798    	  -975.1265    	   70.74153    
   3285.178    	  -912.2061    	   78.02512    	  -990.2313    	   70.30404    
   1624753.    	   37184.85    	   38588.83    	  -1403.978    	   70.72700    
