 Distribution of h552:
 ico12:	           0	  0.0000000E+00
 ico11:	           0	  0.0000000E+00
 ico10:	           7	  2.3333333E-03
 ico9:	           2	  6.6666666E-04
 ico8:	          21	  7.0000002E-03
 ico7:	          37	  1.2333333E-02
 ico6:	          74	  2.4666667E-02
 ico5:	         154	  5.1333334E-02
 ico4:	         244	  8.1333332E-02
 ico3:	         403	  0.1343333    
 ico2:	         555	  0.1850000    
 ico1:	         762	  0.2540000    
 
 Distribution of h332:
 ico12:	           0	  0.0000000E+00
 ico11:	           0	  0.0000000E+00
 ico10:	           0	  0.0000000E+00
 ico9:	           0	  0.0000000E+00
 ico8:	           0	  0.0000000E+00
 ico7:	           0	  0.0000000E+00
 ico6:	           0	  0.0000000E+00
 ico5:	           0	  0.0000000E+00
 ico4:	           0	  0.0000000E+00
 ico3:	           0	  0.0000000E+00
 ico2:	          10	  3.3333334E-03
 ico1:	         208	  6.9333330E-02
 
 i:	h552:	h332:	neib:
        2001	           1	           0	          13
        2002	           3	           0	          13
        2003	           2	           0	          14
        2004	           2	           0	          13
        2005	           2	           0	          11
        2006	           6	           0	          13
        2007	           2	           0	          12
        2008	           2	           0	          13
        2009	           0	           0	          13
        2010	           2	           0	          14
        2011	           1	           0	          12
        2012	           2	           0	          14
        2013	           0	           0	          14
        2014	           3	           0	          13
        2015	           3	           0	          15
        2016	           2	           0	          12
        2017	           5	           0	          12
        2018	           0	           0	          11
        2019	           6	           0	          13
        2020	           0	           0	          12
        2021	           1	           0	          12
        2022	           1	           0	          14
        2023	           1	           0	          13
        2024	           4	           0	          15
        2025	           3	           0	          13
        2026	           4	           0	          14
        2027	           3	           0	          12
        2028	           3	           1	          14
        2029	           0	           0	          12
        2030	           7	           0	          14
        2031	           4	           0	          12
        2032	           1	           0	          15
        2033	           0	           0	          12
        2034	           1	           0	          12
        2035	           2	           0	          14
        2036	           0	           0	          14
        2037	           1	           0	          14
        2038	           1	           0	          15
        2039	           1	           0	          13
        2040	           1	           0	          13
        2041	           0	           1	          13
        2042	           2	           0	          12
        2043	           2	           0	          13
        2044	           1	           0	          10
        2045	           1	           0	          14
        2046	           0	           1	          11
        2047	           0	           0	          13
        2048	           1	           0	          14
        2049	           0	           0	          13
        2050	           0	           1	          13
        2051	           1	           0	          12
        2052	           3	           0	          13
        2053	           4	           0	          13
        2054	           1	           0	          14
        2055	           1	           0	          13
        2056	           0	           0	          12
        2057	           1	           0	          14
        2058	           4	           0	          16
        2059	           0	           0	          12
        2060	           3	           0	          11
        2061	           2	           0	          11
        2062	           2	           0	          13
        2063	           0	           0	          14
        2064	           0	           0	          13
        2065	           0	           0	          12
        2066	           6	           0	          13
        2067	           1	           0	          14
        2068	           1	           0	          13
        2069	           2	           0	          12
        2070	           0	           0	          13
        2071	           6	           0	          12
        2072	           5	           0	          14
        2073	           0	           0	          13
        2074	           1	           0	          13
        2075	           5	           0	          14
        2076	           1	           0	          13
        2077	           1	           0	          15
        2078	           2	           0	          12
        2079	           3	           0	          12
        2080	           0	           0	          13
        2081	           1	           0	          13
        2082	           1	           0	          13
        2083	           3	           0	          12
        2084	           2	           0	          12
        2085	           2	           0	          13
        2086	           0	           0	          14
        2087	           1	           0	          16
        2088	           2	           0	          13
        2089	           4	           0	          11
        2090	           6	           0	          12
        2091	           1	           0	          13
        2092	           1	           0	          13
        2093	           2	           0	          14
        2094	           1	           0	          15
        2095	           7	           0	          15
        2096	           2	           0	          12
        2097	           1	           0	          13
        2098	           1	           0	          12
        2099	           1	           0	          11
        2100	           3	           0	          16
        2101	           1	           0	          14
        2102	           0	           0	          15
        2103	           2	           0	          14
        2104	           1	           0	          14
        2105	           2	           0	          13
        2106	           3	           0	          13
        2107	           3	           0	          13
        2108	           2	           0	          12
        2109	           0	           1	          11
        2110	           3	           0	          12
        2111	           1	           0	          13
        2112	           2	           0	          13
        2113	           5	           0	          13
        2114	           1	           0	          13
        2115	           1	           0	          12
        2116	           0	           1	          13
        2117	           0	           0	          14
        2118	           1	           0	          13
        2119	           5	           0	          13
        2120	           1	           1	          14
        2121	           4	           0	          13
        2122	           0	           0	          11
        2123	           0	           0	          12
        2124	           6	           0	          12
        2125	           6	           0	          13
        2126	           2	           0	          13
        2127	           6	           0	          13
        2128	           2	           0	          13
        2129	           4	           0	          12
        2130	           1	           0	          14
        2131	           1	           0	          12
        2132	           2	           0	          13
        2133	           1	           0	          14
        2134	           1	           0	          13
        2135	           0	           0	          12
        2136	           1	           0	          15
        2137	           1	           0	          12
        2138	           4	           0	          14
        2139	           2	           1	          13
        2140	           0	           0	          12
        2141	           1	           0	          15
        2142	           3	           2	          15
        2143	           1	           0	          13
        2144	           7	           0	          14
        2145	           6	           1	          14
        2146	           1	           0	          13
        2147	           1	           0	          12
        2148	           0	           0	          11
        2149	           1	           1	          13
        2150	           2	           0	          13
        2151	           0	           0	          14
        2152	           1	           0	          13
        2153	           2	           0	          13
        2154	           0	           0	          14
        2155	           2	           0	          14
        2156	           0	           0	          14
        2157	           0	           0	          13
        2158	           3	           0	          11
        2159	           2	           0	          12
        2160	           1	           0	          14
        2161	           4	           0	          15
        2162	           0	           0	          11
        2163	           1	           0	          12
        2164	           4	           0	          13
        2165	           0	           0	          12
        2166	           1	           0	          12
        2167	           2	           0	          13
        2168	           2	           0	          13
        2169	           8	           0	          12
        2170	           1	           0	          11
        2171	           7	           0	          15
        2172	           0	           0	          13
        2173	           2	           0	          15
        2174	           0	           0	          13
        2175	           3	           0	          15
        2176	           4	           0	          13
        2177	           4	           0	          13
        2178	           0	           0	          13
        2179	           1	           0	          10
        2180	           0	           0	          13
        2181	           1	           0	          11
        2182	           1	           0	          13
        2183	           2	           0	          13
        2184	           0	           0	          12
        2185	           0	           0	          13
        2186	           3	           0	          14
        2187	           1	           0	          14
        2188	           1	           0	          15
        2189	           2	           0	          14
        2190	           1	           0	          13
        2191	           0	           0	          12
        2192	           1	           0	          13
        2193	           0	           0	          14
        2194	           0	           0	          11
        2195	           0	           0	          12
        2196	           3	           1	          15
        2197	           0	           0	          15
        2198	           1	           0	          13
        2199	           1	           0	          14
        2200	           0	           0	          14
        2201	           5	           0	          11
        2202	           0	           0	          12
        2203	           4	           0	          15
        2204	           4	           0	          12
        2205	           8	           0	          13
        2206	           2	           1	          13
        2207	           5	           0	          13
        2208	           2	           0	          15
        2209	           1	           0	          12
        2210	           6	           0	          13
        2211	           0	           0	          13
        2212	           4	           0	          13
