 i:	h421:	h552:	h422:	h332:	h433:
        2001	           0	           1	           0	           0	           0
        2002	           0	           3	           0	           0	           0
        2003	           0	           2	           0	           0	           0
        2004	           3	           2	           0	           0	           0
        2005	           0	           2	           0	           0	           0
        2006	           0	           6	           2	           0	           0
        2007	           0	           2	           0	           0	           0
        2008	           0	           2	           1	           0	           0
        2009	           1	           0	           2	           0	           0
        2010	           0	           2	           0	           0	           0
        2011	           3	           1	           0	           0	           0
        2012	           0	           2	           1	           0	           0
        2013	           0	           0	           0	           0	           0
        2014	           0	           3	           0	           0	           0
        2015	           0	           3	           0	           0	           0
        2016	           1	           2	           1	           0	           0
        2017	           0	           5	           0	           0	           0
        2018	           1	           0	           2	           0	           0
        2019	           0	           6	           0	           0	           0
        2020	           1	           0	           2	           0	           0
        2021	           5	           1	           0	           0	           0
        2022	           1	           1	           1	           0	           0
        2023	           1	           1	           0	           0	           0
        2024	           0	           4	           0	           0	           0
        2025	           0	           3	           0	           0	           0
        2026	           1	           4	           0	           0	           0
        2027	           2	           3	           0	           0	           0
        2028	           0	           3	           1	           1	           0
        2029	           0	           0	           2	           0	           0
        2030	           0	           7	           0	           0	           0
        2031	           0	           4	           0	           0	           0
        2032	           0	           1	           0	           0	           0
        2033	           0	           0	           0	           0	           0
        2034	           0	           1	           1	           0	           0
        2035	           0	           2	           0	           0	           0
        2036	           0	           0	           0	           0	           0
        2037	           0	           1	           3	           0	           0
        2038	           0	           1	           2	           0	           0
        2039	           1	           1	           0	           0	           0
        2040	           0	           1	           1	           0	           0
        2041	           0	           0	           0	           1	           0
        2042	           0	           2	           3	           0	           0
        2043	           0	           2	           2	           0	           0
        2044	           0	           1	           1	           0	           0
        2045	           0	           1	           0	           0	           0
        2046	           1	           0	           0	           1	           0
        2047	           4	           0	           0	           0	           0
        2048	           0	           1	           4	           0	           0
        2049	           0	           0	           1	           0	           0
        2050	           1	           0	           0	           1	           0
        2051	           1	           1	           2	           0	           0
        2052	           0	           3	           0	           0	           0
        2053	           0	           4	           0	           0	           0
        2054	           1	           1	           0	           0	           0
        2055	           0	           1	           0	           0	           0
        2056	           0	           0	           0	           0	           0
        2057	           1	           1	           0	           0	           0
        2058	           0	           4	           0	           0	           0
        2059	           0	           0	           1	           0	           0
        2060	           0	           3	           0	           0	           0
        2061	           0	           2	           1	           0	           0
        2062	           0	           2	           2	           0	           0
        2063	           1	           0	           1	           0	           0
        2064	           1	           0	           0	           0	           0
        2065	           1	           0	           0	           0	           0
        2066	           0	           6	           0	           0	           0
        2067	           0	           1	           0	           0	           0
        2068	           0	           1	           0	           0	           0
        2069	           0	           2	           0	           0	           0
        2070	           3	           0	           0	           0	           0
        2071	           0	           6	           0	           0	           0
        2072	           0	           5	           0	           0	           0
        2073	           2	           0	           0	           0	           0
        2074	           1	           1	           3	           0	           0
        2075	           0	           5	           0	           0	           0
        2076	           1	           1	           0	           0	           0
        2077	           0	           1	           0	           0	           0
        2078	           0	           2	           1	           0	           0
        2079	           0	           3	           2	           0	           0
        2080	           1	           0	           0	           0	           0
        2081	           0	           1	           0	           0	           0
        2082	           0	           1	           1	           0	           0
        2083	           0	           3	           2	           0	           0
        2084	           0	           2	           1	           0	           0
        2085	           1	           2	           1	           0	           0
        2086	           0	           0	           0	           0	           0
        2087	           0	           1	           1	           0	           0
        2088	           0	           2	           0	           0	           0
        2089	           0	           4	           1	           0	           0
        2090	           0	           6	           0	           0	           0
        2091	           1	           1	           0	           0	           0
        2092	           0	           1	           3	           0	           0
        2093	           0	           2	           0	           0	           0
        2094	           1	           1	           0	           0	           0
        2095	           0	           7	           0	           0	           0
        2096	           0	           2	           1	           0	           0
        2097	           1	           1	           2	           0	           0
        2098	           0	           1	           0	           0	           0
        2099	           0	           1	           0	           0	           0
        2100	           0	           3	           1	           0	           0
        2101	           1	           1	           1	           0	           0
        2102	           1	           0	           1	           0	           0
        2103	           0	           2	           0	           0	           0
        2104	           0	           1	           0	           0	           0
        2105	           0	           2	           0	           0	           0
        2106	           0	           3	           0	           0	           0
        2107	           0	           3	           0	           0	           0
        2108	           0	           2	           0	           0	           0
        2109	           1	           0	           1	           1	           0
        2110	           1	           3	           0	           0	           0
        2111	           0	           1	           0	           0	           0
        2112	           0	           2	           1	           0	           0
        2113	           0	           5	           0	           0	           0
        2114	           2	           1	           1	           0	           0
        2115	           1	           1	           0	           0	           0
        2116	           0	           0	           0	           1	           0
        2117	           1	           0	           1	           0	           0
        2118	           0	           1	           2	           0	           0
        2119	           0	           5	           0	           0	           0
        2120	           0	           1	           1	           1	           0
        2121	           0	           4	           0	           0	           0
        2122	           0	           0	           1	           0	           0
        2123	           2	           0	           2	           0	           0
        2124	           0	           6	           2	           0	           0
        2125	           0	           6	           1	           0	           0
        2126	           0	           2	           0	           0	           0
        2127	           0	           6	           1	           0	           0
        2128	           0	           2	           1	           0	           0
        2129	           0	           4	           0	           0	           0
        2130	           1	           1	           1	           0	           0
        2131	           1	           1	           0	           0	           0
        2132	           1	           2	           0	           0	           0
        2133	           0	           1	           0	           0	           0
        2134	           0	           1	           2	           0	           0
        2135	           1	           0	           0	           0	           0
        2136	           0	           1	           0	           0	           0
        2137	           1	           1	           0	           0	           0
        2138	           0	           4	           4	           0	           0
        2139	           0	           2	           0	           1	           0
        2140	           0	           0	           3	           0	           0
        2141	           0	           1	           0	           0	           0
        2142	           0	           3	           1	           2	           0
        2143	           1	           1	           2	           0	           0
        2144	           0	           7	           0	           0	           0
        2145	           0	           6	           0	           1	           0
        2146	           1	           1	           2	           0	           0
        2147	           0	           1	           1	           0	           0
        2148	           0	           0	           1	           0	           0
        2149	           1	           1	           0	           1	           0
        2150	           1	           2	           0	           0	           0
        2151	           0	           0	           4	           0	           0
        2152	           0	           1	           2	           0	           0
        2153	           1	           2	           0	           0	           0
        2154	           0	           0	           0	           0	           0
        2155	           0	           2	           0	           0	           0
        2156	           0	           0	           3	           0	           0
        2157	           2	           0	           0	           0	           0
        2158	           0	           3	           0	           0	           0
        2159	           0	           2	           2	           0	           0
        2160	           1	           1	           0	           0	           0
        2161	           0	           4	           0	           0	           0
        2162	           1	           0	           1	           0	           0
        2163	           0	           1	           0	           0	           0
        2164	           1	           4	           0	           0	           0
        2165	           0	           0	           3	           0	           0
        2166	           0	           1	           2	           0	           0
        2167	           0	           2	           0	           0	           0
        2168	           0	           2	           1	           0	           0
        2169	           0	           8	           0	           0	           0
        2170	           0	           1	           1	           0	           0
        2171	           0	           7	           0	           0	           0
        2172	           1	           0	           2	           0	           0
        2173	           0	           2	           0	           0	           0
        2174	           1	           0	           1	           0	           0
        2175	           0	           3	           0	           0	           0
        2176	           0	           4	           0	           0	           0
        2177	           0	           4	           0	           0	           0
        2178	           1	           0	           2	           0	           0
        2179	           2	           1	           0	           0	           0
        2180	           0	           0	           2	           0	           0
        2181	           0	           1	           0	           0	           0
        2182	           1	           1	           4	           0	           0
        2183	           0	           2	           0	           0	           0
        2184	           0	           0	           1	           0	           0
        2185	           2	           0	           1	           0	           0
        2186	           0	           3	           0	           0	           0
        2187	           0	           1	           2	           0	           0
        2188	           1	           1	           0	           0	           0
        2189	           0	           2	           3	           0	           0
        2190	           0	           1	           0	           0	           0
        2191	           1	           0	           3	           0	           0
        2192	           0	           1	           0	           0	           0
        2193	           1	           0	           1	           0	           0
        2194	           1	           0	           4	           0	           0
        2195	           1	           0	           3	           0	           0
        2196	           0	           3	           0	           1	           0
        2197	           3	           0	           0	           0	           0
        2198	           0	           1	           1	           0	           0
        2199	           1	           1	           0	           0	           0
        2200	           0	           0	           2	           0	           0
        2201	           0	           5	           0	           0	           0
        2202	           1	           0	           0	           0	           0
        2203	           0	           4	           0	           0	           0
        2204	           0	           4	           0	           0	           0
        2205	           0	           8	           0	           0	           0
        2206	           0	           2	           2	           1	           0
        2207	           0	           5	           0	           0	           0
        2208	           0	           2	           0	           0	           0
        2209	           1	           1	           2	           0	           0
        2210	           0	           6	           0	           0	           0
        2211	           2	           0	           3	           0	           0
        2212	           0	           4	           0	           0	           0
        2213	           0	           1	           4	           0	           0
        2214	           0	           2	           1	           0	           0
        2215	           0	           2	           0	           0	           0
        2216	           0	           3	           0	           0	           0
        2217	           0	           3	           1	           0	           0
        2218	           1	           3	           2	           0	           0
        2219	           0	           4	           3	           0	           0
        2220	           1	           4	           0	           0	           0
        2221	           0	           0	           0	           1	           0
        2222	           1	           1	           2	           0	           0
        2223	           1	           2	           0	           0	           0
        2224	           1	           0	           2	           0	           0
        2225	           0	           0	           0	           0	           0
        2226	           0	           4	           1	           0	           0
        2227	           0	           5	           0	           0	           0
        2228	           0	           8	           0	           0	           0
        2229	           0	           1	           1	           0	           0
        2230	           0	           0	           0	           0	           0
        2231	           0	           1	           0	           0	           0
        2232	           0	           4	           0	           0	           0
        2233	           1	           2	           0	           0	           0
        2234	           1	           3	           1	           0	           0
        2235	           3	           0	           0	           0	           0
        2236	           1	           3	           0	           0	           0
        2237	           1	           1	           1	           1	           0
        2238	           1	           5	           0	           0	           0
        2239	           0	           4	           0	           0	           0
        2240	           1	           0	           1	           0	           0
        2241	           0	           4	           0	           0	           0
        2242	           1	           2	           0	           0	           0
        2243	           1	           1	           2	           0	           0
        2244	           2	           1	           2	           0	           0
        2245	           1	           1	           0	           0	           0
        2246	           0	           3	           0	           0	           0
        2247	           0	           1	           0	           0	           0
        2248	           1	           1	           0	           0	           0
        2249	           0	           2	           1	           0	           0
        2250	           0	           1	           0	           0	           0
        2251	           0	           4	           0	           0	           0
        2252	           3	           0	           2	           0	           0
        2253	           1	           1	           1	           0	           0
        2254	           0	           0	           2	           0	           0
        2255	           0	           4	           0	           0	           0
        2256	           0	           1	           0	           0	           0
        2257	           0	           0	           0	           0	           0
        2258	           2	           1	           0	           0	           0
        2259	           0	           3	           1	           0	           0
        2260	           0	           1	           0	           0	           0
        2261	           0	           1	           0	           1	           0
        2262	           2	           1	           0	           0	           0
        2263	           1	           1	           0	           0	           0
        2264	           0	           4	           0	           0	           0
        2265	           0	           1	           1	           0	           0
        2266	           5	           0	           0	           0	           0
        2267	           0	           8	           0	           0	           0
        2268	           2	           1	           1	           0	           0
        2269	           0	           1	           1	           0	           0
        2270	           0	           2	           2	           0	           0
        2271	           0	           2	           0	           0	           0
        2272	           0	           2	           2	           0	           0
        2273	           2	           0	           0	           0	           0
        2274	           1	           3	           0	           0	           0
        2275	           2	           0	           2	           0	           0
        2276	           0	           1	           1	           0	           0
        2277	           0	           3	           0	           0	           0
        2278	           0	           2	           1	           0	           0
        2279	           0	           0	           1	           0	           0
        2280	           0	           3	           0	           0	           0
        2281	           0	           1	           0	           0	           0
        2282	           1	           2	           2	           0	           0
        2283	           2	           0	           2	           0	           0
        2284	           0	           3	           0	           0	           0
        2285	           0	           0	           0	           1	           0
        2286	           0	           4	           0	           0	           0
        2287	           3	           0	           1	           0	           0
        2288	           0	           0	           4	           0	           0
        2289	           0	           5	           0	           0	           0
        2290	           0	           0	           2	           0	           0
        2291	           0	           4	           0	           0	           0
        2292	           0	           3	           0	           1	           0
        2293	           0	           4	           0	           0	           0
        2294	           0	           2	           0	           0	           0
        2295	           0	           1	           2	           0	           0
        2296	           2	           0	           0	           1	           0
        2297	           0	           3	           2	           0	           0
        2298	           0	           1	           0	           0	           0
        2299	           0	           2	           0	           0	           0
        2300	           0	           1	           0	           0	           0
        2301	           0	           0	           0	           0	           0
        2302	           0	           0	           0	           1	           0
        2303	           0	           0	           3	           0	           0
        2304	           0	           2	           0	           0	           0
        2305	           0	           0	           0	           0	           0
        2306	           0	           1	           0	           1	           0
        2307	           0	           2	           1	           0	           0
        2308	           1	           1	           0	           0	           0
        2309	           1	           2	           0	           0	           0
        2310	           5	           1	           0	           0	           0
        2311	           0	           5	           0	           0	           0
