 angle:	pba:
   1.500000    	           0	  0.0000000E+00
   4.500000    	           0	  0.0000000E+00
   7.500000    	           0	  0.0000000E+00
   10.50000    	           0	  0.0000000E+00
   13.50000    	           0	  0.0000000E+00
   16.50000    	           0	  0.0000000E+00
   19.50000    	           0	  0.0000000E+00
   22.50000    	           0	  0.0000000E+00
   25.50000    	           0	  0.0000000E+00
   28.50000    	           0	  0.0000000E+00
   31.50000    	           0	  0.0000000E+00
   34.50000    	           0	  0.0000000E+00
   37.50000    	           0	  0.0000000E+00
   40.50000    	           0	  0.0000000E+00
   43.50000    	           0	  0.0000000E+00
   46.50000    	           0	  0.0000000E+00
   49.50000    	           0	  0.0000000E+00
   52.50000    	           1	  8.1254570E-05
   55.50000    	           2	  1.6250914E-04
   58.50000    	           2	  1.6250914E-04
   61.50000    	          10	  8.1254571E-04
   64.50000    	          33	  2.6814009E-03
   67.50000    	          67	  5.4440564E-03
   70.50000    	         112	  9.1005117E-03
   73.50000    	         179	  1.4544568E-02
   76.50000    	         296	  2.4051353E-02
   79.50000    	         357	  2.9007882E-02
   82.50000    	         430	  3.4939464E-02
   85.50000    	         530	  4.3064922E-02
   88.50000    	         579	  4.7046397E-02
   91.50000    	         632	  5.1352888E-02
   94.50000    	         645	  5.2409198E-02
   97.50000    	         632	  5.1352888E-02
   100.5000    	         607	  4.9321525E-02
   103.5000    	         577	  4.6883889E-02
   106.5000    	         563	  4.5746323E-02
   109.5000    	         543	  4.4121232E-02
   112.5000    	         479	  3.8920939E-02
   115.5000    	         518	  4.2089868E-02
   118.5000    	         428	  3.4776956E-02
   121.5000    	         446	  3.6239538E-02
   124.5000    	         429	  3.4858212E-02
   127.5000    	         404	  3.2826848E-02
   130.5000    	         396	  3.2176811E-02
   133.5000    	         341	  2.7707808E-02
   136.5000    	         283	  2.2995044E-02
   139.5000    	         278	  2.2588771E-02
   142.5000    	         270	  2.1938734E-02
   145.5000    	         222	  1.8038515E-02
   148.5000    	         204	  1.6575933E-02
   151.5000    	         140	  1.1375640E-02
   154.5000    	         157	  1.2756968E-02
   157.5000    	         129	  1.0481840E-02
   160.5000    	          92	  7.4754204E-03
   163.5000    	          80	  6.5003657E-03
   166.5000    	          83	  6.7441296E-03
   169.5000    	          57	  4.6315105E-03
   172.5000    	          41	  3.3314375E-03
   175.5000    	          24	  1.9501097E-03
   178.5000    	           9	  7.3129113E-04
   181.5000    	           0	  0.0000000E+00
   184.5000    	           0	  0.0000000E+00
   187.5000    	           0	  0.0000000E+00
   190.5000    	           0	  0.0000000E+00
   193.5000    	           0	  0.0000000E+00
   196.5000    	           0	  0.0000000E+00
   199.5000    	           0	  0.0000000E+00
   202.5000    	           0	  0.0000000E+00
   205.5000    	           0	  0.0000000E+00
   208.5000    	           0	  0.0000000E+00
   211.5000    	           0	  0.0000000E+00
   214.5000    	           0	  0.0000000E+00
   217.5000    	           0	  0.0000000E+00
   220.5000    	           0	  0.0000000E+00
   223.5000    	           0	  0.0000000E+00
   226.5000    	           0	  0.0000000E+00
   229.5000    	           0	  0.0000000E+00
   232.5000    	           0	  0.0000000E+00
   235.5000    	           0	  0.0000000E+00
   238.5000    	           0	  0.0000000E+00
   241.5000    	           0	  0.0000000E+00
   244.5000    	           0	  0.0000000E+00
   247.5000    	           0	  0.0000000E+00
   250.5000    	           0	  0.0000000E+00
   253.5000    	           0	  0.0000000E+00
   256.5000    	           0	  0.0000000E+00
   259.5000    	           0	  0.0000000E+00
   262.5000    	           0	  0.0000000E+00
   265.5000    	           0	  0.0000000E+00
   268.5000    	           0	  0.0000000E+00
   271.5000    	           0	  0.0000000E+00
   274.5000    	           0	  0.0000000E+00
   277.5000    	           0	  0.0000000E+00
   280.5000    	           0	  0.0000000E+00
   283.5000    	           0	  0.0000000E+00
