 angle:	pba:
   1.500000    	           0	  0.0000000E+00
   4.500000    	           0	  0.0000000E+00
   7.500000    	           0	  0.0000000E+00
   10.50000    	           0	  0.0000000E+00
   13.50000    	           0	  0.0000000E+00
   16.50000    	           0	  0.0000000E+00
   19.50000    	           0	  0.0000000E+00
   22.50000    	           0	  0.0000000E+00
   25.50000    	           0	  0.0000000E+00
   28.50000    	           0	  0.0000000E+00
   31.50000    	           0	  0.0000000E+00
   34.50000    	           0	  0.0000000E+00
   37.50000    	           0	  0.0000000E+00
   40.50000    	           0	  0.0000000E+00
   43.50000    	           0	  0.0000000E+00
   46.50000    	           0	  0.0000000E+00
   49.50000    	           0	  0.0000000E+00
   52.50000    	           0	  0.0000000E+00
   55.50000    	           0	  0.0000000E+00
   58.50000    	           0	  0.0000000E+00
   61.50000    	           3	  1.8270403E-04
   64.50000    	          28	  1.7052375E-03
   67.50000    	          68	  4.1412911E-03
   70.50000    	         193	  1.1753959E-02
   73.50000    	         368	  2.2411693E-02
   76.50000    	         589	  3.5870887E-02
   79.50000    	         930	  5.6638245E-02
   82.50000    	        1075	  6.5468937E-02
   85.50000    	        1175	  7.1559072E-02
   88.50000    	        1223	  7.4482337E-02
   91.50000    	        1090	  6.6382460E-02
   94.50000    	        1021	  6.2180270E-02
   97.50000    	         906	  5.5176616E-02
   100.5000    	         768	  4.6772230E-02
   103.5000    	         731	  4.4518881E-02
   106.5000    	         601	  3.6601704E-02
   109.5000    	         484	  2.9476248E-02
   112.5000    	         418	  2.5456760E-02
   115.5000    	         361	  2.1985384E-02
   118.5000    	         336	  2.0462850E-02
   121.5000    	         270	  1.6443362E-02
   124.5000    	         239	  1.4555420E-02
   127.5000    	         240	  1.4616322E-02
   130.5000    	         221	  1.3459196E-02
   133.5000    	         225	  1.3702801E-02
   136.5000    	         209	  1.2728380E-02
   139.5000    	         197	  1.1997564E-02
   142.5000    	         202	  1.2302071E-02
   145.5000    	         203	  1.2362972E-02
   148.5000    	         223	  1.3580998E-02
   151.5000    	         214	  1.3032887E-02
   154.5000    	         235	  1.4311815E-02
   157.5000    	         249	  1.5164434E-02
   160.5000    	         254	  1.5468940E-02
   163.5000    	         213	  1.2971985E-02
   166.5000    	         189	  1.1510354E-02
   169.5000    	         193	  1.1753959E-02
   172.5000    	         149	  9.0742996E-03
   175.5000    	          91	  5.5420217E-03
   178.5000    	          36	  2.1924481E-03
   181.5000    	           0	  0.0000000E+00
   184.5000    	           0	  0.0000000E+00
   187.5000    	           0	  0.0000000E+00
   190.5000    	           0	  0.0000000E+00
   193.5000    	           0	  0.0000000E+00
   196.5000    	           0	  0.0000000E+00
   199.5000    	           0	  0.0000000E+00
   202.5000    	           0	  0.0000000E+00
   205.5000    	           0	  0.0000000E+00
   208.5000    	           0	  0.0000000E+00
   211.5000    	           0	  0.0000000E+00
   214.5000    	           0	  0.0000000E+00
   217.5000    	           0	  0.0000000E+00
   220.5000    	           0	  0.0000000E+00
   223.5000    	           0	  0.0000000E+00
   226.5000    	           0	  0.0000000E+00
   229.5000    	           0	  0.0000000E+00
   232.5000    	           0	  0.0000000E+00
   235.5000    	           0	  0.0000000E+00
   238.5000    	           0	  0.0000000E+00
   241.5000    	           0	  0.0000000E+00
   244.5000    	           0	  0.0000000E+00
   247.5000    	           0	  0.0000000E+00
   250.5000    	           0	  0.0000000E+00
   253.5000    	           0	  0.0000000E+00
   256.5000    	           0	  0.0000000E+00
   259.5000    	           0	  0.0000000E+00
   262.5000    	           0	  0.0000000E+00
   265.5000    	           0	  0.0000000E+00
   268.5000    	           0	  0.0000000E+00
   271.5000    	           0	  0.0000000E+00
   274.5000    	           0	  0.0000000E+00
   277.5000    	           0	  0.0000000E+00
   280.5000    	           0	  0.0000000E+00
   283.5000    	           0	  0.0000000E+00
