 temp:	  etot:	  ekin:	  epot:
  0.7486317    	  -1050.851    	  1.7542930E-02	  -1050.869    	   71.52478    
   2997.620    	  -824.1043    	   71.19496    	  -895.2993    	   68.03577    
   2998.516    	  -825.4429    	   71.21625    	  -896.6592    	   67.79102    
   3000.032    	  -825.4235    	   71.25272    	  -896.6763    	   67.68243    
   2994.807    	  -823.9014    	   71.12815    	  -895.0295    	   67.69585    
   3002.904    	  -827.7925    	   71.32095    	  -899.1134    	   67.65498    
   2998.745    	  -826.9612    	   71.22169    	  -898.1829    	   67.72250    
   3001.921    	  -825.3649    	   71.29760    	  -896.6625    	   67.65456    
   2999.121    	  -824.8395    	   71.23061    	  -896.0701    	   67.70855    
   2994.729    	  -824.8588    	   71.12631    	  -895.9851    	   67.68130    
   2993.605    	  -826.4465    	   71.09962    	  -897.5461    	   67.73532    
   2995.610    	  -827.0432    	   71.14723    	  -898.1904    	   67.65393    
   2993.894    	  -826.0113    	   71.10647    	  -897.1177    	   67.68086    
   2997.917    	  -826.4092    	   71.20203    	  -897.6113    	   67.66702    
   3000.838    	  -827.4335    	   71.27187    	  -898.7054    	   67.66683    
   3000.022    	  -825.8463    	   71.25250    	  -897.0988    	   67.65311    
   2996.635    	  -825.8543    	   71.17156    	  -897.0259    	   67.69358    
   2992.929    	  -827.0054    	   71.08356    	  -898.0890    	   67.70697    
   3007.283    	  -827.5029    	   71.42495    	  -898.9279    	   67.69318    
   2999.713    	  -825.5753    	   71.24468    	  -896.8199    	   67.74721    
   3003.222    	  -825.2262    	   71.32849    	  -896.5547    	   67.69287    
   3008.028    	  -826.5442    	   71.44263    	  -897.9868    	   67.69273    
   2997.536    	  -826.1949    	   71.19297    	  -897.3879    	   67.71955    
   3009.794    	  -823.1559    	   71.48458    	  -894.6405    	   67.66530    
   2998.538    	  -825.4210    	   71.21678    	  -896.6378    	   67.71933    
   2999.157    	  -825.5127    	   71.23148    	  -896.7442    	   67.69208    
   3006.945    	  -825.4263    	   71.41691    	  -896.8432    	   67.67835    
   2999.422    	  -827.2022    	   71.23778    	  -898.4400    	   67.61058    
   2989.118    	  -825.6393    	   70.99303    	  -896.6323    	   67.70512    
   2999.571    	  -825.0448    	   71.24129    	  -896.2861    	   67.63715    
   2999.696    	  -824.2800    	   71.24427    	  -895.5243    	   67.66405    
   2998.615    	  -823.8564    	   71.21861    	  -895.0751    	   67.74509    
   2997.150    	  -825.6874    	   71.18382    	  -896.8713    	   67.74495    
   3006.684    	  -824.8679    	   71.41073    	  -896.2786    	   67.74476    
   2997.530    	  -826.2690    	   71.19283    	  -897.4619    	   67.64977    
   3005.519    	  -826.2222    	   71.38306    	  -897.6052    	   67.64968    
   3005.712    	  -825.2990    	   71.38763    	  -896.6866    	   67.70362    
   3003.534    	  -824.1290    	   71.33590    	  -895.4649    	   67.73055    
   2999.536    	  -824.7675    	   71.24048    	  -896.0080    	   67.73041    
   3000.082    	  -826.1070    	   71.25391    	  -897.3609    	   67.62187    
   2995.790    	  -825.7571    	   71.15151    	  -896.9086    	   67.67587    
   2997.865    	  -826.2236    	   71.20078    	  -897.4244    	   67.68929    
   3008.112    	  -825.8589    	   71.44464    	  -897.3035    	   67.68909    
   2995.237    	  -825.6335    	   71.13837    	  -896.7719    	   67.71607    
   2998.704    	  -827.4835    	   71.22072    	  -898.7042    	   67.64821    
   2999.749    	  -826.4401    	   71.24554    	  -897.6856    	   67.71570    
   2995.728    	  -823.1790    	   71.15002    	  -894.3290    	   67.72910    
   3003.762    	  -826.0862    	   71.34132    	  -897.4276    	   67.66125    
   2995.235    	  -826.8492    	   71.13832    	  -897.9875    	   67.68819    
   2998.525    	  -825.0854    	   71.21645    	  -896.3019    	   67.67450    
   3007.942    	  -826.0638    	   71.44060    	  -897.5044    	   67.67429    
   2997.590    	  -824.3105    	   71.19427    	  -895.5048    	   67.64700    
   3016.324    	  -824.7144    	   71.63968    	  -896.3540    	   67.76874    
   3001.722    	  -826.5117    	   71.29286    	  -897.8045    	   67.66022    
   2992.250    	  -825.0838    	   71.06744    	  -896.1512    	   67.70058    
   3004.472    	  -825.0721    	   71.35818    	  -896.4302    	   67.63275    
   3006.743    	  -825.7101    	   71.41211    	  -897.1222    	   67.65968    
   2996.773    	  -824.1085    	   71.17487    	  -895.2834    	   67.70004    
   2997.933    	  -826.5042    	   71.20240    	  -897.7065    	   67.72697    
   3001.501    	  -825.8647    	   71.28762    	  -897.1523    	   67.67267    
   3003.721    	  -828.5220    	   71.34035    	  -899.8623    	   67.61839    
   2999.483    	  -824.3484    	   71.23921    	  -895.5876    	   67.72645    
   2996.998    	  -825.9263    	   71.18019    	  -897.1064    	   67.69921    
   2999.153    	  -826.8914    	   71.23138    	  -898.1228    	   67.68549    
   2996.313    	  -826.4993    	   71.16393    	  -897.6632    	   67.72585    
   2989.260    	  -826.5646    	   70.99641    	  -897.5610    	   67.65804    
   3001.489    	  -825.4712    	   71.28732    	  -896.7585    	   67.64434    
   3002.691    	  -824.3790    	   71.31588    	  -895.6948    	   67.68482    
   3000.319    	  -826.1795    	   71.25954    	  -897.4390    	   67.69826    
   2993.794    	  -825.1395    	   71.10411    	  -896.2437    	   67.72517    
   2998.113    	  -827.3499    	   71.20668    	  -898.5565    	   67.69794    
   3006.715    	  -824.3123    	   71.41145    	  -895.7237    	   67.71133    
   3001.515    	  -826.5113    	   71.28796    	  -897.7993    	   67.67048    
   2998.991    	  -826.3342    	   71.22754    	  -897.5618    	   67.69727    
   2999.425    	  -827.5607    	   71.23783    	  -898.7986    	   67.72417    
   2993.503    	  -823.0984    	   71.09720    	  -894.1956    	   67.66994    
   3002.958    	  -826.4589    	   71.32223    	  -897.7811    	   67.71040    
   3006.385    	  -826.6000    	   71.40363    	  -898.0037    	   67.58852    
   2992.815    	  -826.0067    	   71.08084    	  -897.0876    	   67.69662    
   3005.359    	  -828.9351    	   71.37925    	  -900.3144    	   67.65590    
   3001.533    	  -827.3076    	   71.28839    	  -898.5959    	   67.66927    
   2993.906    	  -825.2783    	   71.10676    	  -896.3851    	   67.72332    
